nombre_espanol;nombres_pt
Albania;Albânia
Alemania;Alemanha
Andorra;Andorra
Argentina;Argentina
Australia;Austrália
Austria;Áustria
Azerbaiyán;Azerbaijão
Bahrein;Bahrein
Bangladesh;Bahrein
Barbados;Barbados
Belarús;Bielorrússia
Bélgica;Bélgica
Belice;Belice
Bolivia (Estado Plurinacional de);Bolivia
Brasil;Brasil
Bulgaria;Bulgária
Camboya;Camboja
Canadá;Canadá
Chile;Chile
Chipre;Chipre
Colombia;Colômbia
Costa Rica;Costa Rica
Croacia;Croácia
Dinamarca;Dinamarca
Dominica;Dominica
Ecuador;Equador
El Salvador;El Salvador
Eslovaquia;Eslovaquia
Eslovenia ;Eslovênia
España;Espanha
Estados Unidos;Estados Unidos
Estonia;Estônia
Federación de Rusia;Rússia
Filipinas;Filipinas
Finlandia;Finlândia
Francia;França
Granada;Granada
Grecia;Grécia
Guyana;Guiana
Hungría;Hungria
India;Índia
Indonesia;Indonésia
Irán (República Islámica del);Irã (República Islâmica) 
Irlanda;Irlanda
Islandia;Islândia
Israel;Israel
Italia;Itália
Japón;Japão
Jordania;Jordânia
Kazajstán;Cazaquistão 
Kuwait;Kuwait
Letonia;Letônia
Lituania;Lituânia
Luxemburgo;Luxemburgo
Malasia;Malásia
Malta;Malta
Marruecos;Marrocos
Mauricio;Maurício
México;México
Montenegro;Montenegro
Mundo;Mundo
Myanmar;Mianmar
Noruega;Noruega
Nueva Zelandia;Nova Zelândia 
Omán;Omã
Países Bajos;Países Bajos
Pakistán;Paquistão
Paraguay;Paraguai
Perú;Peru
Polonia;Polonia
Portugal;Portugal
Reino Unido;Reino Unido
República Checa;República Checa
República de Corea;República da Coreia 
República Dominicana;República Dominicana
Rumania;Romênia
Rwanda;Ruanda
San Marino;San Marino
Santa Lucía;Santa Lucía
Senegal;Senegal
Serbia;Sérvia
Seychelles;Seychelles
Singapur;Singapura
Sudáfrica;África do Sul 
Suecia;Suécia
Suiza;Suíça
Trinidad y Tobago;Trindade e Tobago 
Turquía;Hungria
Ucrania;Ucrânia
Uruguay;Uruguai
Venezuela (República Bolivariana de);Venezuela
Zimbabwe;Zimbábue
Eslovenia;Eslovenia
